Company,"Primary Industry, Country"
Cemex SAB de CV,"Stone, Clay, Glass & Concrete Products, Mexico"
Devon Energy Corp.,"Petroleum & Coal Products, United States"
Kawasaki Heavy Industries Ltd.,"Railcars, Ships, & Other Trans. Equip., Japan"
Texas Instruments Inc.,"Computers & Other Electronic Products, United States"
IHI Corp.,"Machinery, Japan"
Chesapeake Energy Corp.,"Petroleum & Coal Products, United States"
Daewoo Shipbuilding & Marine Engineering,"Railcars, Ships, & Other Trans. Equip., Korea"
Yara International ASA,"Chemicals, Norway"
Occidental Petroleum Corp.,"Petroleum & Coal Products, United States"
Parker Hannifin Corp.,"Machinery, United States"
Uni-President Enterprises Corp.,"Food, Taiwan Province of China"
Tupras Turkiye Petrol Rafine,"Petroleum & Coal Products, Turkey"
Turkiye Petrol Rafinerileri AS,"Petroleum & Coal Products, Turkey"
Grupo Bimbo SA de CV,"Food, Mexico"
VF Corp.,"Apparel, United States"
Saipem SpA,"Petroleum & Coal Products, Italy"
Toppan Printing Co. Ltd.,"Publishing & Printing, Japan"
TE Connectivity Ltd.,"Computers & Other Electronic Products, Switzerland"
Siam Cement Public Co. Ltd.,"Stone, Clay, Glass & Concrete Products, Thailand"
Kyocera Corp.,"Computers & Other Electronic Products, Japan"
Fosun International Ltd.,"Miscellaneous, China"
Neste Oyj,"Petroleum & Coal Products, Finland"
Kao Corp.,"Chemicals, Japan"
Atlas Copco AB,"Machinery, Sweden"
Dai Nippon Printing Co. Ltd.,"Publishing & Printing, Japan"
Compagnie Financiere Richemont AG,"Instruments, Switzerland"
Voest-Alpine AG,"Primary Metals, Austria"
Aurubis AG,"Primary Metals, Germany"
Inventec Corp.,"Computers & Other Electronic Products, Taiwan Province of China"
Shanghai Electric Group Co. Ltd.,"Machinery, China"
"Otsuka Holdings Co., Ltd.","Pharmaceuticals, Japan"
Oji Holdings Corp.,"Paper, Japan"
Braskem SA,"Petroleum & Coal Products, Brazil"
BYD Co. Ltd.,"Miscellaneous, Hong Kong Special Administrative Region of China"
Sasol Ltd.,"Petroleum & Coal Products, South Africa"
Solvay SA,"Chemicals, Belgium"
Bollore SA,"Miscellaneous, France"
Mitsubishi Materials Corp.,"Primary Metals, Japan"
Husky Energy Inc.,"Petroleum & Coal Products, Canada"
Toyota Boshoku Corp.,"Motor Vehicle Parts, Japan"
Vivendi SA,"Miscellaneous, France"
Ambev SA,"Beverages, Brazil"
Great Wall Motor Co. Ltd.,"Motor Vehicles, China"
Dominion Resources Inc.,"Petroleum & Coal Products, United States"
JTEKT Corp.,"Fabricated Metal Products, Japan"
Charoen Pokphand Foods PCL,"Food, Thailand"
ConAgra Foods Inc.,"Food, United States"
United States Steel Corp.,"Fabricated Metal Products, United States"
Astellas Pharma Inc.,"Pharmaceuticals, Japan"
Zijin Mining Group Co. Ltd.,"Primary Metals, China"
WestRock Co.,"Paper, United States"
Weichai Power Co. Ltd.,"Motor Vehicle Parts, China"
Technip,"Petroleum & Coal Products, France"
Sherwin-Williams Co.,"Chemicals, United States"
China Greatwall Computer Shenzhen Co. Ltd.,"Computers & Other Electronic Products, China"
PTT Global Chemical Public Co. Ltd.,"Petroleum & Coal Products, Thailand"
R.R. Donnelley & Sons Co.,"Publishing & Printing, United States"
Stanley Black & Decker Inc.,"Fabricated Metal Products, United States"
Mitsui Chemicals Inc.,"Chemicals, Japan"
Seagate Technology PLC,"Computers & Other Electronic Products, Ireland"
UPM - Kymmene Corp.,"Paper, Finland"
Asahi Glass Co. Ltd.,"Stone, Clay, Glass & Concrete Products, Japan"
Innolux Corp.,"Computers & Other Electronic Products, Taiwan Province of China"
Metalurgica Gerdau SA,"Primary Metals, Brazil"
AU Optronics Corp.,"Computers & Other Electronic Products, Taiwan Province of China"
Stora Enso Corp.,"Paper, Finland"
Praxair Inc.,"Chemicals, United States"
Estee Lauder Cos. Inc.,"Chemicals, United States"
Biogen Inc.,"Pharmaceuticals, United States"
Vedanta Resources PLC,"Primary Metals, United Kingdom"
GKN PLC,"Motor Vehicle Parts, United Kingdom"
Shin-Etsu Chemical Co. Ltd.,"Chemicals, Japan"
Reynolds American Inc.,"Tobacco, United States"
China Agri-Industries Holdings Ltd.,"Food, Hong Kong Special Administrative Region of China"
Umicore SA,"Primary Metals, Belgium"
Hyosung Corp.,"Textiles, Korea"
GS Holdings Co. Ltd.,"Petroleum & Coal Products, Korea"
Sinopec Shanghai Petrochemical Co. Ltd.,"Chemicals, China"
L-3 Communications Holdings Inc.,"Communications Equipment, United States"
Valeant Pharmaceuticals International Inc.,"Chemicals, Canada"
